MAT_ID|BASE_UOM|ALTERNATIVE_UOM|NUMERATOR|DENOMINATOR|NORMAL_SIZE_L|BASE_UOM_BLOCK|DAY_ID|SHIFT_NO|CREATEDATE|MODDATE|MODBY
100001|L86|L|1.00000|1.00000|| |0|0|15/6/2555 19:30:06|15/6/2555 19:30:06|อารีย์
100002|L86|L|1.00000|1.00000|| |0|0|15/6/2555 19:30:06|15/6/2555 19:30:06|อารีย์
100004|L86|L|1.00000|1.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
100005|L86|L|1.00000|1.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
100007|L86|L|1.00000|1.00000|| |0|0|17/12/2558 19:30:13|17/12/2558 19:30:13|Opass Chaisiri : 0892067304
100012|L86|L|1.00000|1.00000|| |0|0|17/12/2558 19:30:13|17/12/2558 19:30:13|Opass Chaisiri : 0892067304
100014|L86|L|1.00000|1.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
100016|L86|L|1.00000|1.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
100018|L86|L|1.00000|1.00000|| |0|0|15/6/2555 19:30:06|15/6/2555 19:30:06|อารีย์
100020|L86|L|1.00000|1.00000|| |0|0|15/6/2555 19:30:06|15/6/2555 19:30:06|อารีย์
100033|KG|L|8580.00000|10000.00000|| |0|0|17/12/2558 19:30:15|17/12/2558 19:30:15|Opass Chaisiri : 0892067304
100034|DR|L|1.00000|200.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
100035|KG|L|8760.00000|10000.00000|| |0|0|17/12/2558 19:30:15|17/12/2558 19:30:15|Opass Chaisiri : 0892067304
100036|DR|L|1.00000|200.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
100037|KG|L|8910.00000|10000.00000|| |0|0|17/12/2558 19:30:15|17/12/2558 19:30:15|Opass Chaisiri : 0892067304
100038|DR|L|1.00000|200.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
100039|KG|L|8405.00000|10000.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
100040|DR|L|1.00000|200.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
100041|KG|L|833.00000|1000.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
100042|KG|L|8336.00000|10000.00000|| |0|0|17/12/2558 19:30:13|17/12/2558 19:30:13|Opass Chaisiri : 0892067304
100043|KG|L|10156.00000|10000.00000|| |0|0|17/12/2558 19:30:13|17/12/2558 19:30:13|Opass Chaisiri : 0892067304
100044|DR|L|1.00000|200.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
100045|KG|L|10136.00000|10000.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
100046|DR|L|1.00000|200.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
100047|KG|L|10064.00000|10000.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
100048|DR|L|1.00000|200.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
100049|KG|L|10000.00000|11924.00000|| |0|0|17/12/2558 19:30:15|17/12/2558 19:30:15|Opass Chaisiri : 0892067304
100050|KG|L|10136.00000|10000.00000|| |0|0|15/6/2555 19:30:06|15/6/2555 19:30:06|อารีย์
100051|DR|L|1.00000|200.00000|| |0|0|15/6/2555 19:30:06|15/6/2555 19:30:06|อารีย์
100052|KG|L|10064.00000|10000.00000|| |0|0|15/6/2555 19:30:06|15/6/2555 19:30:06|อารีย์
100053|DR|L|1.00000|200.00000|| |0|0|15/6/2555 19:30:06|15/6/2555 19:30:06|อารีย์
100056|KG|L|1000.00000|1014.00000|| |0|0|15/6/2555 19:30:06|15/6/2555 19:30:06|อารีย์
100062|KG|L|10.00000|6.00000|| |0|0|15/6/2555 19:30:06|15/6/2555 19:30:06|อารีย์
100073|KG|L|880.00000|1000.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
100084|KG|L|893.00000|1000.00000|| |0|0|17/12/2558 19:30:14|17/12/2558 19:30:14|Opass Chaisiri : 0892067304
100093|KG|L|880.00000|1000.00000|| |0|0|15/6/2555 19:30:06|15/6/2555 19:30:06|อารีย์
100094|L86|L|1.00000|1.00000|| |0|0|17/12/2558 19:30:12|17/12/2558 19:30:12|Opass Chaisiri : 0892067304
100096|KG|L|10000.00000|11924.00000|| |0|0|17/12/2558 19:30:15|17/12/2558 19:30:15|Opass Chaisiri : 0892067304
100097|KG|L|10000.00000|11924.00000|| |0|0|17/12/2558 19:30:15|17/12/2558 19:30:15|Opass Chaisiri : 0892067304
