HOSE_ID|PERIOD_ID|OPEN_METER_VALUE|CLOSE_METER_VALUE|OPEN_METER_VOLUME|CLOSE_METER_VOLUME|POSTPAY_QUANTITY|POSTPAY_VALUE|POSTPAY_VOLUME|POSTPAY_COST|PREPAY_QUANTITY|PREPAY_VALUE|PREPAY_VOLUME|PREPAY_COST|PREPAY_REFUND_QTY|PREPAY_REFUND_VAL|PREPAY_RFD_LST_QTY|PREPAY_RFD_LST_VAL|PREAUTH_QUANTITY|PREAUTH_VALUE|PREAUTH_VOLUME|PREAUTH_COST|MONITOR_QUANTITY|MONITOR_VALUE|MONITOR_VOLUME|MONITOR_COST|DRIVEOFFS_QUANTITY|DRIVEOFFS_VALUE|DRIVEOFFS_VOLUME|DRIVEOFFS_COST|TEST_DEL_QUANTITY|TEST_DEL_VOLUME|OFFLINE_QUANTITY|OFFLINE_VOLUME|OFFLINE_VALUE|OFFLINE_COST|OPEN_MECH_VOLUME|CLOSE_MECH_VOLUME|OPEN_VOLUME_TURNOVER_CORRECTION|OPEN_MONEY_TURNOVER_CORRECTION|CLOSE_VOLUME_TURNOVER_CORRECTION|CLOSE_MONEY_TURNOVER_CORRECTION|OPEN_VOLUME_TURNOVER_CORRECTION2|CLOSE_VOLUME_TURNOVER_CORRECTION2
1|5565|569475.0000|0.0000|218983.8000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|34034140.7500|0.0000|0.0000|0.0000|0.0000
1|5566|569475.0000|569475.0000|218983.8000|218983.8000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|34034140.7500|0.0000|34034140.7500|0.0000|0.0000
1|5567|569475.0000|0.0000|218983.8000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|34034140.7500|0.0000|0.0000|0.0000|0.0000
2|5565|3592116.4000|0.0000|549941.9000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2383933.6900|0.0000|0.0000|0.0000|0.0000
2|5566|3592116.4000|3592116.4000|549941.9000|549941.9000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2383933.6900|0.0000|2383933.6900|0.0000|0.0000
2|5567|3592116.4000|0.0000|549941.9000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2383933.6900|0.0000|0.0000|0.0000|0.0000
3|5565|6577436.4000|0.0000|696084.7600|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|11911068.6500|0.0000|0.0000|0.0000|0.0000
3|5566|6577436.4000|6577436.4000|696084.7600|696084.7600|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|11911068.6500|0.0000|11911068.6500|0.0000|0.0000
3|5567|6577436.4000|0.0000|696084.7600|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|11911068.6500|0.0000|0.0000|0.0000|0.0000
4|5565|2999518.7000|0.0000|804892.4500|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|1000000.0000|58187843.7900|0.0000|0.0000|0.0000|0.0000
4|5566|2999518.7000|3002928.7000|804892.4500|805016.4500|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|1000000.0000|58187843.7900|1000000.0000|58187843.7900|0.0000|0.0000
4|5567|3002928.7000|0.0000|805016.4500|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|1000000.0000|58187843.7900|0.0000|0.0000|0.0000|0.0000
5|5565|1312570.0000|0.0000|475338.8500|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|1000000.0000|56580147.6900|0.0000|0.0000|0.0000|0.0000
5|5566|1312570.0000|1316470.0000|475338.8500|475482.0700|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|1000000.0000|56580147.6900|1000000.0000|56580147.6900|0.0000|0.0000
5|5567|1316470.0000|0.0000|475482.0700|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|1000000.0000|56580147.6900|0.0000|0.0000|0.0000|0.0000
6|5565|6320312.6000|0.0000|724392.3500|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|1000000.0000|27294217.4100|0.0000|0.0000|0.0000|0.0000
6|5566|6320312.6000|6322412.6000|724392.3500|724474.5700|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|1000000.0000|27294217.4100|1000000.0000|27294217.4100|0.0000|0.0000
6|5567|6322412.6000|0.0000|724474.5700|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|1000000.0000|27294217.4100|0.0000|0.0000|0.0000|0.0000
7|5565|3779176.6000|0.0000|828358.9700|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|1000000.0000|26870788.9200|0.0000|0.0000|0.0000|0.0000
7|5566|3779176.6000|3785184.9000|828358.9700|828577.4400|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|1000000.0000|26870788.9200|1000000.0000|26870788.9200|0.0000|0.0000
7|5567|3785184.9000|0.0000|828577.4400|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|1000000.0000|26870788.9200|0.0000|0.0000|0.0000|0.0000
8|5565|5252760.0000|0.0000|274859.9700|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|19619285.3300|0.0000|0.0000|0.0000|0.0000
8|5566|5252760.0000|5255720.4000|274859.9700|274968.6900|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|19619285.3300|0.0000|19619285.3300|0.0000|0.0000
8|5567|5255720.4000|0.0000|274968.6900|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|19619285.3300|0.0000|0.0000|0.0000|0.0000
9|5565|9302319.5000|0.0000|305880.2000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|-1448924.8500|0.0000|0.0000|0.0000|0.0000
9|5566|9302319.5000|9302919.5000|305880.2000|305903.6900|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|-1448924.8500|0.0000|-1448924.8500|0.0000|0.0000
9|5567|9302919.5000|0.0000|305903.6900|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|-1448924.8500|0.0000|0.0000|0.0000|0.0000
10|5565|8162970.2000|0.0000|138440.8100|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|1000000.0000|41937754.5500|0.0000|0.0000|0.0000|0.0000
