PAYIN_ID|REFBILL_NO|TRANSFER_DATE|TRAN_DATE|BUS_DATE|SHIFT_DESCRIPTION|LAST_CLOSE_SHIFT_DT|FILEPATH|FILENAME|TYPE|PAYMENT_TYPE|AMOUNTREC|AMOUNT|AMOUNT_DIFF|REMARK|STATUS_SAP|STATUS|NO_SALE_STATUS|CREATEDATE|CREATEBY|UPDATEDATE|UPDATEBY
1|011120141|2/11/2557|1/11/2557|1/11/2557|POS เครื่องที่ 1 จากกะที่ 1 - 2 01/11/2557 00:01:37 - 01/11/2557 13:59:28|1/11/2557 13:59:28|D:\6211\20141101\|Payin1.jpg|1|1|189559.6000|189560.0000|0.4000||1|3|0|2/11/2557 15:48:54|1|4/11/2557 18:06:22|1
2|311020142|2/11/2557|1/11/2557|31/10/2557|POS เครื่องที่ 1 จากกะที่ 3 - 4 31/10/2557 13:59:15 - 31/10/2557 23:55:35,$$&&$$&&(ตราสารปิดวัน - ยอดจาก SAP)||D:\6211\20141101\|Payin2.jpg|2|1|197521.1000|197522.0000|0.9000||1|3|0|2/11/2557 15:48:54|1|4/11/2557 18:06:25|1
3||2/11/2557|1/11/2557|31/10/2557|||D:\6211\20141101\|report.pdf|3|1||397828.1000||||3||2/11/2557 15:48:54|1|4/11/2557 18:06:15|1
4|021120141|2/11/2557|2/11/2557|2/11/2557|POS เครื่องที่ 1 จากกะที่ 1 - 2 02/11/2557 00:00:27 - 02/11/2557 13:58:26|2/11/2557 13:58:26|D:\6211\20141102\|Payin1.jpg|1|1|198661.4000|198662.0000|0.6000||2|3|0|2/11/2557 15:48:54|1|4/11/2557 18:06:31|1
5|011120142|2/11/2557|2/11/2557|1/11/2557|POS เครื่องที่ 1 จากกะที่ 3 - 4 01/11/2557 00:01:37 - 01/11/2557 23:56:40,$$&&$$&&(ตราสารปิดวัน - ยอดจาก POS)||D:\6211\20141102\|Payin2.jpg|2|1|192547.6000|192548.0000|0.4000||2|3|0|2/11/2557 15:48:54|1|4/11/2557 18:06:34|1
6||2/11/2557|2/11/2557|1/11/2557|||D:\6211\20141102\|report.pdf|3|1||382107.2000||||3||2/11/2557 15:48:54|1|4/11/2557 18:06:26|1
7|031120141|4/11/2557|3/11/2557|3/11/2557|POS เครื่องที่ 1 จากกะที่ 1 - 2 03/11/2557 00:00:13 - 03/11/2557 13:58:17|3/11/2557 13:58:17|D:\6211\20141103\|Payin1.jpg|1|1|185767.9000|185768.0000|0.1000||2|3|0|4/11/2557 18:07:12|1|4/11/2557 18:10:26|1
8|021120142|4/11/2557|3/11/2557|2/11/2557|POS เครื่องที่ 1 จากกะที่ 3 - 4 02/11/2557 13:58:50 - 02/11/2557 23:59:05,$$&&$$&&(ตราสารปิดวัน - ยอดจาก POS)||D:\6211\20141103\|Payin2.jpg|2|1|195274.3000|195275.0000|0.7000||2|3|0|4/11/2557 18:07:12|1|4/11/2557 18:10:28|1
9||4/11/2557|3/11/2557|2/11/2557|||D:\6211\20141103\|report.pdf|3|1||393936.3000||||3||4/11/2557 18:07:12|1|4/11/2557 18:10:20|1
10|041120141|4/11/2557|4/11/2557|4/11/2557|POS เครื่องที่ 1 จากกะที่ 1 - 2 04/11/2557 00:00:48 - 04/11/2557 14:00:56|4/11/2557 14:00:56|D:\6211\20141104\|Payin1.jpg|1|1|183303.7000|183304.0000|0.3000||2|3|0|4/11/2557 18:07:12|1|4/11/2557 18:10:34|1
11|031120142|4/11/2557|4/11/2557|3/11/2557|POS เครื่องที่ 1 จากกะที่ 3 - 4 03/11/2557 00:00:13 - 03/11/2557 23:55:23,$$&&$$&&(ตราสารปิดวัน - ยอดจาก POS)||D:\6211\20141104\|Payin2.jpg|2|1|191042.1300|191043.0000|0.8700||2|3|0|4/11/2557 18:07:12|1|4/11/2557 18:10:37|1
12||4/11/2557|4/11/2557|3/11/2557|||D:\6211\20141104\|report.pdf|3|1||376810.0300||||3||4/11/2557 18:07:12|1|4/11/2557 18:10:31|1
13|051120141|5/11/2557|5/11/2557|5/11/2557|POS เครื่องที่ 1 จากกะที่ 1 - 5 05/11/2557 00:00:38 - 05/11/2557 13:55:00|5/11/2557 13:55:00|D:\6211\20141105\|Payin1.jpg|1|1|188831.3000|188832.0000|0.7000||2|3|0|5/11/2557 14:05:42|1|5/11/2557 15:53:57|1
14|041120142|5/11/2557|5/11/2557|4/11/2557|POS เครื่องที่ 1 จากกะที่ 3 - 4 04/11/2557 14:01:11 - 04/11/2557 23:56:30,$$&&$$&&(ตราสารปิดวัน - ยอดจาก POS)||D:\6211\20141105\|Payin2.jpg|2|1|178818.8000|178819.0000|0.2000||2|3|0|5/11/2557 14:05:42|1|5/11/2557 15:54:00|1
